epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3404.57,1.12645,0.68026,1.20759,0.94962,0.9513,0.96665,0.67986,1.11102,0.51189,1.16774,0.0071785,0.0071785,0.0071785
59,3461.2,1.11545,0.66787,1.20262,0.9465,0.94861,0.96506,0.68317,1.1094,0.51138,1.16733,0.007129,0.007129,0.007129
60,3517.89,1.11623,0.66435,1.21103,0.95111,0.94735,0.96917,0.68542,1.1203,0.50805,1.18287,0.0070795,0.0070795,0.0070795
61,3574.53,1.11896,0.65783,1.20573,0.95482,0.95376,0.97122,0.68559,1.1121,0.50122,1.16732,0.00703,0.00703,0.00703
62,3631.21,1.11232,0.65912,1.20222,0.94779,0.94983,0.96601,0.68345,1.0994,0.50987,1.16564,0.0069805,0.0069805,0.0069805
63,3687.88,1.11241,0.65637,1.19694,0.95192,0.95376,0.96727,0.68768,1.10099,0.49556,1.16059,0.006931,0.006931,0.006931
64,3744.59,1.1083,0.66672,1.1926,0.94962,0.95376,0.96604,0.68768,1.09581,0.50164,1.16346,0.0068815,0.0068815,0.0068815
65,3801.19,1.09946,0.65548,1.19578,0.95446,0.95622,0.96911,0.69036,1.08293,0.48821,1.14939,0.006832,0.006832,0.006832
66,3857.85,1.09756,0.65771,1.19059,0.94853,0.95183,0.96597,0.68678,1.08649,0.49681,1.15527,0.0067825,0.0067825,0.0067825
67,3914.44,1.10349,0.64907,1.1909,0.95285,0.95434,0.96848,0.68962,1.09275,0.49446,1.15691,0.006733,0.006733,0.006733
68,3971.17,1.10531,0.65059,1.19866,0.95523,0.95498,0.97266,0.69182,1.08857,0.48608,1.16,0.0066835,0.0066835,0.0066835
69,4028.01,1.09008,0.63999,1.18605,0.9537,0.95917,0.96874,0.68704,1.09931,0.48927,1.15963,0.006634,0.006634,0.006634
70,4084.62,1.09228,0.63957,1.18078,0.95518,0.96065,0.97353,0.69132,1.09899,0.49258,1.16345,0.0065845,0.0065845,0.0065845
71,4141.34,1.09487,0.63999,1.2051,0.95796,0.95524,0.97295,0.69355,1.08749,0.48245,1.15688,0.006535,0.006535,0.006535
72,4199.81,1.09158,0.63951,1.18248,0.95586,0.95862,0.972,0.69178,1.08501,0.4771,1.15403,0.0064855,0.0064855,0.0064855
73,4259.28,1.09328,0.64243,1.18782,0.95775,0.95902,0.97183,0.69206,1.08723,0.47889,1.15412,0.006436,0.006436,0.006436
74,4318.58,1.0903,0.63803,1.18745,0.95719,0.95917,0.97073,0.6918,1.08412,0.48175,1.15618,0.0063865,0.0063865,0.0063865
75,4377.84,1.08259,0.62538,1.18269,0.95702,0.95917,0.96847,0.69473,1.0819,0.48063,1.15812,0.006337,0.006337,0.006337
76,4437.16,1.06944,0.62354,1.17482,0.95459,0.95868,0.96935,0.69793,1.07855,0.47699,1.15172,0.0062875,0.0062875,0.0062875
77,4496.75,1.08203,0.6259,1.17866,0.95445,0.95859,0.97121,0.69527,1.07553,0.47449,1.14995,0.006238,0.006238,0.006238
78,4556.16,1.07507,0.62807,1.17342,0.95512,0.95967,0.97287,0.70091,1.07316,0.47337,1.1415,0.0061885,0.0061885,0.0061885
79,4615.47,1.06578,0.61395,1.17612,0.95487,0.96163,0.9746,0.70222,1.07263,0.47041,1.14481,0.006139,0.006139,0.006139
80,4674.8,1.07133,0.62641,1.16733,0.95635,0.96114,0.97287,0.69893,1.07745,0.4728,1.14824,0.0060895,0.0060895,0.0060895
